duration,end time,name,start time
90.0,41484914971.0,ia,41484914881.0
34987.0,41484950148.0,ia,41484915161.0
169.0,41484951318.0,ia,41484951149.0
16.0,41484953167.0,transport.onreadystatechange,41484953151.0
12.0,41484953450.0,transport.onreadystatechange,41484953438.0
3715.0,41484957555.0,transport.onreadystatechange,41484953840.0
194.0,41484958420.0,,41484958226.0
274.0,41484958834.0,aa,41484958560.0
84.0,41484959098.0,u,41484959014.0
309.0,41484959638.0,ia,41484959329.0
253.0,41484960091.0,ia,41484959838.0
247.0,41484960865.0,ia,41484960618.0
160.0,41484970419.0,ia,41484970259.0
881.0,41484971410.0,,41484970529.0
2172.0,41484973732.0,,41484971560.0
339.0,41484974175.0,,41484973836.0
346.0,41484974636.0,,41484974290.0
375.0,41484975148.0,,41484974773.0
1028.0,41484976539.0,ia,41484975511.0
282.0,41484977075.0,,41484976793.0
164.0,41484977339.0,,41484977175.0
143.0,41484977549.0,,41484977406.0
11211.0,41484989203.0,ia,41484977992.0
198.0,41484990143.0,ia,41484989945.0
68.0,41484990365.0,ia,41484990297.0
1149.0,41484993083.0,,41484991934.0
1640.0,41484994877.0,,41484993237.0
194.0,41484995439.0,ia,41484995245.0
126.0,41484995717.0,ia,41484995591.0
94.0,41484995873.0,ia,41484995779.0
86.0,41484996010.0,ia,41484995924.0
1675.0,41485000028.0,ia,41484998353.0
103.0,41485000336.0,ia,41485000233.0
4282.0,41485004771.0,ia,41485000489.0
131.0,41485005627.0,ia,41485005496.0
45.0,41485005790.0,ia,41485005745.0
208.0,41485007980.0,ia,41485007772.0
3926.0,41485012091.0,ia,41485008165.0
391.0,41485012643.0,ia,41485012252.0
401.0,41485013768.0,,41485013367.0
347.0,41485014203.0,,41485013856.0
91.0,41485014476.0,,41485014385.0
52.0,41485014573.0,aa,41485014521.0
113.0,41485014727.0,u,41485014614.0
468.0,41485015417.0,ia,41485014949.0
346.0,41485016061.0,ia,41485015715.0
15875.0,41485036261.0,ia,41485020386.0
138.0,41485037410.0,ia,41485037272.0
575.0,41485040681.0,ia,41485040106.0
264.0,41485041126.0,ia,41485040862.0
173.0,41485041417.0,ia,41485041244.0
165.0,41485045832.0,ia,41485045667.0
1232.0,41485047177.0,,41485045945.0
939.0,41485048519.0,,41485047580.0
1176.0,41485049788.0,,41485048612.0
612.0,41485050812.0,,41485050200.0
686.0,41485051675.0,,41485050989.0
563.0,41485052943.0,ia,41485052380.0
354.0,41485053483.0,ia,41485053129.0
120.0,41485053687.0,ia,41485053567.0
91.0,41485053825.0,ia,41485053734.0
1011.0,41485058336.0,ia,41485057325.0
454.0,41485059116.0,ia,41485058662.0
56.0,41485059550.0,ia,41485059494.0
34.0,41485059688.0,ia,41485059654.0
294.0,41485060046.0,ia,41485059752.0
1618.0,41485061963.0,,41485060345.0
338.0,41485062400.0,,41485062062.0
656.0,41485063217.0,ia,41485062561.0
481.0,41485064055.0,,41485063574.0
186.0,41485064386.0,,41485064200.0
60.0,41485064608.0,ia,41485064548.0
321.0,41485065226.0,ia,41485064905.0
76.0,41485065403.0,ia,41485065327.0
3151.0,41485068705.0,,41485065554.0
21.0,41485069079.0,u,41485069058.0
152.0,41485072365.0,,41485072213.0
67.0,41485072534.0,aa,41485072467.0
21.0,41485072612.0,u,41485072591.0
55.0,41485072849.0,ia,41485072794.0
403.0,41485073329.0,ia,41485072926.0
178.0,41485073592.0,ia,41485073414.0
80.0,41485074230.0,ia,41485074150.0
1138.0,41485075503.0,,41485074365.0
2771.0,41485078421.0,,41485075650.0
1352.0,41485079938.0,,41485078586.0
590.0,41485080673.0,,41485080083.0
360.0,41485081184.0,,41485080824.0
7712.0,41485089051.0,,41485081339.0
167.0,41485089476.0,,41485089309.0
455.0,41485090064.0,,41485089609.0
204.0,41485090459.0,ia,41485090255.0
911.0,41485091488.0,ia,41485090577.0
883.0,41485092456.0,ia,41485091573.0
3311.0,41485095847.0,k,41485092536.0
187.0,41485096198.0,ia,41485096011.0
264.0,41485096593.0,ia,41485096329.0
195.0,41485096844.0,ia,41485096649.0
399.0,41485106505.0,ia,41485106106.0
248.0,41485106932.0,ia,41485106684.0
304.0,41485107499.0,ia,41485107195.0
340.0,41485109134.0,ia,41485108794.0
559.0,41485109846.0,ia,41485109287.0
